"","month","iso_code","date","location","total_cases","total_deaths","total_cases_per_million","total_deaths_per_million","total_tests","total_tests_per_thousand","total_vaccinations","total_boosters","total_vaccinations_per_hundred","total_boosters_per_hundred","population","population_density","continent"
"1","2021-03","ABW","2021-03-31","Aruba",0,0,0,0,0,0,0,0,0,0,107195,584.8,"North America"
"2","2021-04","ABW","2021-04-30","Aruba",0,0,0,0,0,0,76865,0,71.71,0,107195,584.8,"North America"
"3","2021-05","ABW","2021-05-31","Aruba",0,0,0,0,0,0,114154,0,106.49,0,107195,584.8,"North America"
"4","2021-06","ABW","2021-06-30","Aruba",0,0,0,0,0,0,127256,0,118.71,0,107195,584.8,"North America"
"5","2021-07","ABW","2021-07-31","Aruba",0,0,0,0,0,0,138509,0,129.21,0,107195,584.8,"North America"
"6","2021-08","ABW","2021-08-31","Aruba",0,0,0,0,0,0,148225,0,138.28,0,107195,584.8,"North America"
"7","2021-09","ABW","2021-09-30","Aruba",0,0,0,0,0,0,156179,0,145.7,0,107195,584.8,"North America"
"8","2020-02","AFG","2020-02-29","Afghanistan",5,0,0.126,0,0,0,0,0,0,0,39835428,54.422,"Asia"
"9","2020-03","AFG","2020-03-31","Afghanistan",166,4,4.167,0.1,0,0,0,0,0,0,39835428,54.422,"Asia"
"10","2020-04","AFG","2020-04-30","Afghanistan",1827,60,45.864,1.506,0,0,0,0,0,0,39835428,54.422,"Asia"
"11","2020-05","AFG","2020-05-31","Afghanistan",15180,254,381.068,6.376,0,0,0,0,0,0,39835428,54.422,"Asia"
"12","2020-06","AFG","2020-06-30","Afghanistan",31445,739,789.373,18.551,0,0,0,0,0,0,39835428,54.422,"Asia"
"13","2020-07","AFG","2020-07-31","Afghanistan",36628,1275,919.483,32.007,0,0,0,0,0,0,39835428,54.422,"Asia"
"14","2020-08","AFG","2020-08-31","Afghanistan",38248,1406,960.15,35.295,0,0,0,0,0,0,39835428,54.422,"Asia"
"15","2020-09","AFG","2020-09-30","Afghanistan",39354,1462,987.915,36.701,0,0,0,0,0,0,39835428,54.422,"Asia"
"16","2020-10","AFG","2020-10-31","Afghanistan",41334,1533,1037.619,38.483,0,0,0,0,0,0,39835428,54.422,"Asia"
"17","2020-11","AFG","2020-11-30","Afghanistan",46215,1763,1160.148,44.257,0,0,0,0,0,0,39835428,54.422,"Asia"
"18","2020-12","AFG","2020-12-31","Afghanistan",52330,2189,1313.655,54.951,0,0,0,0,0,0,39835428,54.422,"Asia"
"19","2021-01","AFG","2021-01-31","Afghanistan",55023,2400,1381.258,60.248,0,0,0,0,0,0,39835428,54.422,"Asia"
"20","2021-02","AFG","2021-02-28","Afghanistan",55714,2443,1398.604,61.327,0,0,8200,0,0.02,0,39835428,54.422,"Asia"
"21","2021-03","AFG","2021-03-31","Afghanistan",56454,2484,1417.181,62.357,0,0,NA,0,NA,0,39835428,54.422,"Asia"
"22","2021-04","AFG","2021-04-30","Afghanistan",59745,2625,1499.796,65.896,0,0,NA,0,NA,0,39835428,54.422,"Asia"
"23","2021-05","AFG","2021-05-31","Afghanistan",71838,2944,1803.37,73.904,0,0,NA,0,NA,0,39835428,54.422,"Asia"
"24","2021-06","AFG","2021-06-30","Afghanistan",118659,4871,2978.73,122.278,0,0,886854,0,2.23,0,39835428,54.422,"Asia"
"25","2021-07","AFG","2021-07-31","Afghanistan",147154,6708,3694.048,168.393,0,0,NA,0,NA,0,39835428,54.422,"Asia"
"26","2021-08","AFG","2021-08-31","Afghanistan",153220,7118,3846.325,178.685,0,0,1979652,0,4.97,0,39835428,54.422,"Asia"
"27","2021-09","AFG","2021-09-30","Afghanistan",155174,7204,3895.377,180.844,0,0,2369625,0,5.95,0,39835428,54.422,"Asia"
"28","2020-03","AGO","2020-03-31","Angola",7,2,0.206,0.059,0,0,0,0,0,0,33933611,23.89,"Africa"
"29","2020-04","AGO","2020-04-30","Angola",27,2,0.796,0.059,0,0,0,0,0,0,33933611,23.89,"Africa"
"30","2020-05","AGO","2020-05-31","Angola",86,4,2.534,0.118,0,0,0,0,0,0,33933611,23.89,"Africa"
"31","2020-06","AGO","2020-06-30","Angola",284,13,8.369,0.383,0,0,0,0,0,0,33933611,23.89,"Africa"
"32","2020-07","AGO","2020-07-31","Angola",1148,52,33.831,1.532,0,0,0,0,0,0,33933611,23.89,"Africa"
"33","2020-08","AGO","2020-08-31","Angola",2654,108,78.212,3.183,0,0,0,0,0,0,33933611,23.89,"Africa"
"34","2020-09","AGO","2020-09-30","Angola",4972,183,146.521,5.393,0,0,0,0,0,0,33933611,23.89,"Africa"
"35","2020-10","AGO","2020-10-31","Angola",10805,284,318.416,8.369,0,0,0,0,0,0,33933611,23.89,"Africa"
"36","2020-11","AGO","2020-11-30","Angola",15139,348,446.136,10.255,0,0,0,0,0,0,33933611,23.89,"Africa"
"37","2020-12","AGO","2020-12-31","Angola",17553,405,517.275,11.935,0,0,0,0,0,0,33933611,23.89,"Africa"
"38","2021-01","AGO","2021-01-31","Angola",19796,466,583.374,13.733,0,0,0,0,0,0,33933611,23.89,"Africa"
"39","2021-02","AGO","2021-02-28","Angola",20807,508,613.168,14.97,0,0,0,0,0,0,33933611,23.89,"Africa"
"40","2021-03","AGO","2021-03-31","Angola",22311,537,657.49,15.825,0,0,0,0,0,0,33933611,23.89,"Africa"
"41","2021-04","AGO","2021-04-30","Angola",26652,596,785.416,17.564,0,0,0,0,0,0,33933611,23.89,"Africa"
"42","2021-05","AGO","2021-05-31","Angola",34551,766,1018.194,22.573,0,0,909215,0,2.68,0,33933611,23.89,"Africa"
"43","2021-06","AGO","2021-06-30","Angola",38849,900,1144.853,26.522,0,0,NA,0,NA,0,33933611,23.89,"Africa"
"44","2021-07","AGO","2021-07-31","Angola",42777,1011,1260.609,29.793,0,0,NA,0,NA,0,33933611,23.89,"Africa"
"45","2021-08","AGO","2021-08-31","Angola",47544,1217,1401.089,35.864,0,0,NA,0,NA,0,33933611,23.89,"Africa"
"46","2021-09","AGO","2021-09-30","Angola",56583,1537,1667.462,45.294,0,0,NA,0,NA,0,33933611,23.89,"Africa"
"47","2021-02","AIA","2021-02-28","Anguilla",0,0,0,0,0,0,0,0,0,0,15125,NA,"North America"
"48","2021-03","AIA","2021-03-31","Anguilla",0,0,0,0,0,0,0,0,0,0,15125,NA,"North America"
"49","2021-04","AIA","2021-04-30","Anguilla",0,0,0,0,0,0,0,0,0,0,15125,NA,"North America"
"50","2021-05","AIA","2021-05-31","Anguilla",0,0,0,0,0,0,0,0,0,0,15125,NA,"North America"
"51","2021-06","AIA","2021-06-30","Anguilla",0,0,0,0,0,0,0,0,0,0,15125,NA,"North America"
"52","2021-07","AIA","2021-07-31","Anguilla",0,0,0,0,0,0,0,0,0,0,15125,NA,"North America"
"53","2021-08","AIA","2021-08-31","Anguilla",0,0,0,0,0,0,0,0,0,0,15125,NA,"North America"
"54","2021-09","AIA","2021-09-30","Anguilla",0,0,0,0,0,0,0,0,0,0,15125,NA,"North America"
