"","X","sixh","country","tweets","igtweets","hoaxsh","date"
"1",1,"2020-01-01","other",27,0,0,"2020-01-01"
"2",2,"2020-01-01","US",4,0,0,"2020-01-01"
"3",3,"2020-01-02","other",41,0,0,"2020-01-02"
"4",4,"2020-01-02","UK",1,0,0,"2020-01-02"
"5",5,"2020-01-02","US",3,0,0,"2020-01-02"
"6",6,"2020-01-03","other",38,0,0,"2020-01-03"
"7",7,"2020-01-03","UK",1,0,0,"2020-01-03"
"8",8,"2020-01-03","US",5,0,0,"2020-01-03"
"9",9,"2020-01-04","other",106,0,0,"2020-01-04"
"10",10,"2020-01-04","US",5,0,0,"2020-01-04"
"11",11,"2020-01-05","other",83,0,0,"2020-01-05"
"12",12,"2020-01-05","UK",1,0,0,"2020-01-05"
"13",13,"2020-01-05","US",4,0,0,"2020-01-05"
"14",14,"2020-01-06","other",44,0,0,"2020-01-06"
"15",15,"2020-01-06","US",4,0,0,"2020-01-06"
"16",16,"2020-01-07","other",51,0,0,"2020-01-07"
"17",17,"2020-01-07","UK",2,0,0,"2020-01-07"
"18",18,"2020-01-07","US",6,0,0,"2020-01-07"
"19",19,"2020-01-08","other",66,0,0,"2020-01-08"
"20",20,"2020-01-08","US",6,0,0,"2020-01-08"
"21",21,"2020-01-09","other",71,0,0,"2020-01-09"
"22",22,"2020-01-09","UK",2,0,0,"2020-01-09"
"23",23,"2020-01-09","US",15,0,0,"2020-01-09"
"24",24,"2020-01-10","other",89,0,0,"2020-01-10"
"25",25,"2020-01-10","UK",1,0,0,"2020-01-10"
"26",26,"2020-01-10","US",6,0,0,"2020-01-10"
"27",27,"2020-01-11","other",63,0,0,"2020-01-11"
"28",28,"2020-01-11","UK",1,0,0,"2020-01-11"
"29",29,"2020-01-11","US",7,0,0,"2020-01-11"
"30",30,"2020-01-12","other",56,0,0,"2020-01-12"
"31",31,"2020-01-12","US",5,0,0,"2020-01-12"
"32",32,"2020-01-13","other",48,0,0,"2020-01-13"
"33",33,"2020-01-13","US",5,0,0,"2020-01-13"
