"","Country","Year","pop"
"1","Australia",1950,8178700
"2","Australia",1951,8421700
"3","Australia",1952,8636500
"4","Australia",1953,8815300
"5","Australia",1954,8986500
"6","Australia",1955,9199700
"7","Australia",1956,9425500
"8","Australia",1957,9640200
"9","Australia",1958,9842400
"10","Australia",1959,10056400
"11","Australia",1960,10275000
"12","Australia",1961,10508200
"13","Australia",1962,10700500
"14","Australia",1963,10906900
"15","Australia",1964,11121600
"16","Australia",1965,11340900
"17","Australia",1966,11599500
"18","Australia",1967,11799080
"19","Australia",1968,12008640
"20","Australia",1969,12263010
"21","Australia",1970,12507350
"22","Australia",1971,13067270
"23","Australia",1972,13303660
"24","Australia",1973,13504540
"25","Australia",1974,13722570
"26","Australia",1975,13893000
"27","Australia",1976,14033080
"28","Australia",1977,14192230
"29","Australia",1978,14359260
"30","Australia",1979,14515730
"31","Australia",1980,14695360
"32","Australia",1981,14923260
"33","Australia",1982,15184250
"34","Australia",1983,15393470
"35","Australia",1984,15579390
"36","Australia",1985,15788310
"37","Australia",1986,16018350
"38","Australia",1987,16263870
"39","Australia",1988,16532160
"40","Australia",1989,16814420
"41","Australia",1990,17065130
"42","Australia",1991,17284040
"43","Australia",1992,17479000
"44","Australia",1993,17635000
"45","Australia",1994,17805000
"46","Australia",1995,18005000
"47","Australia",1996,18225000
"48","Australia",1997,18423000
"49","Australia",1998,18608000
"50","Australia",1999,18812000
"51","Australia",2000,19029000
"52","Australia",2001,19275000
"53","Australia",2002,19495000
"54","Australia",2003,19721000
"55","Australia",2004,19933000
"56","Australia",2005,20177000
"57","Australia",2006,20451000
"58","Australia",2007,20828000
"59","Australia",2008,21249000
"60","Australia",2009,21692000
"61","Australia",2010,22032000
"62","Australia",2011,22340000
"63","Australia",2012,22724000
"64","Australia",2013,23131000
"65","Austria",1950,6935100
"66","Austria",1951,6935451
"67","Austria",1952,6927772
"68","Austria",1953,6932483
"69","Austria",1954,6940209
"70","Austria",1955,6946885
"71","Austria",1956,6952359
"72","Austria",1957,6965860
"73","Austria",1958,6987358
"74","Austria",1959,7014331
"75","Austria",1960,7047539
"76","Austria",1961,7086298
"77","Austria",1962,7129864
"78","Austria",1963,7175811
"79","Austria",1964,7223801
"80","Austria",1965,7270888
"81","Austria",1966,7322066
"82","Austria",1967,7376998
"83","Austria",1968,7415402
"84","Austria",1969,7441055
"85","Austria",1970,7467086
"86","Austria",1971,7500481
"87","Austria",1972,7544201
"88","Austria",1973,7586114
"89","Austria",1974,7599038
"90","Austria",1975,7578902
"91","Austria",1976,7565525
"92","Austria",1977,7568430
"93","Austria",1978,7562304
"94","Austria",1979,7549424
"95","Austria",1980,7549432
"96","Austria",1981,7568710
"97","Austria",1982,7574139
"98","Austria",1983,7561910
"99","Austria",1984,7561434
"100","Austria",1985,7564984
"101","Austria",1986,7569794
"102","Austria",1987,7574585
"103","Austria",1988,7585317
"104","Austria",1989,7619566
"105","Austria",1990,7677850
"106","Austria",1991,7754890
"107","Austria",1992,7840709
"108","Austria",1993,7905632
"109","Austria",1994,7936117
"110","Austria",1995,7948278
"111","Austria",1996,7959016
"112","Austria",1997,7968041
"113","Austria",1998,7976788
"114","Austria",1999,7992323
"115","Austria",2000,8011566
"116","Austria",2001,8042293
"117","Austria",2002,8082121
"118","Austria",2003,8118245
"119","Austria",2004,8169441
"120","Austria",2005,8225278
"121","Austria",2006,8267948
"122","Austria",2007,8295189
"123","Austria",2008,8321541
"124","Austria",2009,8341483
"125","Austria",2010,8361069
"126","Austria",2011,8388534
"127","Austria",2012,8426311
"128","Austria",2013,8468570
"129","Belgium",1950,8639369
"130","Belgium",1951,8678386
"131","Belgium",1952,8730405
"132","Belgium",1953,8777873
"133","Belgium",1954,8819374
"134","Belgium",1955,8868451
"135","Belgium",1956,8923800
"136","Belgium",1957,8989050
"137","Belgium",1958,9052650
"138","Belgium",1959,9103712
"139","Belgium",1960,9153489
"140","Belgium",1961,9183947
"141","Belgium",1962,9220577
"142","Belgium",1963,9289770
"143","Belgium",1964,9378113
"144","Belgium",1965,9463667
"145","Belgium",1966,9527807
"146","Belgium",1967,9580990
"147","Belgium",1968,9618755
"148","Belgium",1969,9646032
"149","Belgium",1970,9655549
"150","Belgium",1971,9673161
"151","Belgium",1972,9711114
"152","Belgium",1973,9741720
"153","Belgium",1974,9772419
"154","Belgium",1975,9800700
"155","Belgium",1976,9818227
"156","Belgium",1977,9830357
"157","Belgium",1978,9839533
"158","Belgium",1979,9848382
"159","Belgium",1980,9859242
"160","Belgium",1981,9858981
"161","Belgium",1982,9856303
"162","Belgium",1983,9855520
"163","Belgium",1984,9855372
"164","Belgium",1985,9858308
"165","Belgium",1986,9861823
"166","Belgium",1987,9870233
"167","Belgium",1988,9901664
"168","Belgium",1989,9937697
"169","Belgium",1990,9967378
"170","Belgium",1991,10004490
"171","Belgium",1992,10045160
"172","Belgium",1993,10084480
"173","Belgium",1994,10115600
"174","Belgium",1995,10136810
"175","Belgium",1996,10156640
"176","Belgium",1997,10181250
"177","Belgium",1998,10203010
"178","Belgium",1999,10226420
"179","Belgium",2000,10251250
"180","Belgium",2001,10286570
"181","Belgium",2002,10332780
"182","Belgium",2003,10376130
"183","Belgium",2004,10421140
"184","Belgium",2005,10478620
"185","Belgium",2006,10547960
"186","Belgium",2007,10625700
"187","Belgium",2008,10709970
"188","Belgium",2009,10796490
"189","Belgium",2010,10920270
"190","Belgium",2011,11047740
"191","Belgium",2012,11128250
"192","Belgium",2013,NA
"193","Canada",1950,14019000
"194","Canada",1951,14318000
"195","Canada",1952,14776000
"196","Canada",1953,15170000
"197","Canada",1954,15621000
"198","Canada",1955,16040000
"199","Canada",1956,16431000
"200","Canada",1957,16971000
"201","Canada",1958,17450000
"202","Canada",1959,17861000
"203","Canada",1960,18256000
"204","Canada",1961,18635000
"205","Canada",1962,18989000
"206","Canada",1963,19347000
"207","Canada",1964,19720000
"208","Canada",1965,20084000
"209","Canada",1966,20421000
"210","Canada",1967,20795000
"211","Canada",1968,21129000
"212","Canada",1969,21440000
"213","Canada",1970,21746000
"214","Canada",1971,21962000
"215","Canada",1972,22218000
"216","Canada",1973,22492000
"217","Canada",1974,22808000
"218","Canada",1975,23143000
"219","Canada",1976,23450000
"220","Canada",1977,23726000
"221","Canada",1978,23963000
"222","Canada",1979,24202000
"223","Canada",1980,24516000
"224","Canada",1981,24820000
"225","Canada",1982,25117000
"226","Canada",1983,25366000
"227","Canada",1984,25607000
"228","Canada",1985,25842000
"229","Canada",1986,26100000
"230","Canada",1987,26447000
"231","Canada",1988,26792000
"232","Canada",1989,27277000
"233","Canada",1990,27691140
"234","Canada",1991,28037420
"235","Canada",1992,28371260
"236","Canada",1993,28684760
"237","Canada",1994,29000660
"238","Canada",1995,29302310
"239","Canada",1996,29610220
"240","Canada",1997,29905950
"241","Canada",1998,30155170
"242","Canada",1999,30401290
"243","Canada",2000,30685730
"244","Canada",2001,31019020
"245","Canada",2002,31353660
"246","Canada",2003,31639670
"247","Canada",2004,31940680
"248","Canada",2005,32245210
"249","Canada",2006,32576070
"250","Canada",2007,32927520
"251","Canada",2008,33317660
"252","Canada",2009,33726920
"253","Canada",2010,34126550
"254","Canada",2011,34483980
"255","Canada",2012,34880490
"256","Canada",2013,NA
"257","Chile",1950,6081931
"258","Chile",1951,6218333
"259","Chile",1952,6354736
"260","Chile",1953,6491137
"261","Chile",1954,6627540
"262","Chile",1955,6763940
"263","Chile",1956,6939809
"264","Chile",1957,7115675
"265","Chile",1958,7291542
"266","Chile",1959,7467409
"267","Chile",1960,7643277
"268","Chile",1961,7843945
"269","Chile",1962,8044614
"270","Chile",1963,8245284
"271","Chile",1964,8445953
"272","Chile",1965,8646622
"273","Chile",1966,8831223
"274","Chile",1967,9015825
"275","Chile",1968,9200427
"276","Chile",1969,9385028
"277","Chile",1970,9569631
"278","Chile",1971,9738347
"279","Chile",1972,9907065
"280","Chile",1973,10075780
"281","Chile",1974,10244500
"282","Chile",1975,10413220
"283","Chile",1976,10565410
"284","Chile",1977,10717600
"285","Chile",1978,10869790
"286","Chile",1979,11021980
"287","Chile",1980,11174170
"288","Chile",1981,11359770
"289","Chile",1982,11545370
"290","Chile",1983,11730970
"291","Chile",1984,11916570
"292","Chile",1985,12102170
"293","Chile",1986,12317490
"294","Chile",1987,12532820
"295","Chile",1988,12748140
"296","Chile",1989,12963460
"297","Chile",1990,13178780
"298","Chile",1991,13422010
"299","Chile",1992,13665240
"300","Chile",1993,13908470
"301","Chile",1994,14151710
"302","Chile",1995,14394940
"303","Chile",1996,14595500
"304","Chile",1997,14796080
"305","Chile",1998,14996650
"306","Chile",1999,15197210
"307","Chile",2000,15397780
"308","Chile",2001,15571680
"309","Chile",2002,15745580
"310","Chile",2003,15919480
"311","Chile",2004,16093380
"312","Chile",2005,16267280
"313","Chile",2006,16432670
"314","Chile",2007,16598070
"315","Chile",2008,16763470
"316","Chile",2009,16928870
"317","Chile",2010,17094280
"318","Chile",2011,17248450
"319","Chile",2012,17402630
"320","Chile",2013,17556820
"321","Czech Republic",1950,8925122
"322","Czech Republic",1951,9023170
"323","Czech Republic",1952,9125183
"324","Czech Republic",1953,9220908
"325","Czech Republic",1954,9290617
"326","Czech Republic",1955,9365969
"327","Czech Republic",1956,9442040
"328","Czech Republic",1957,9513758
"329","Czech Republic",1958,9574650
"330","Czech Republic",1959,9618554
"331","Czech Republic",1960,9659818
"332","Czech Republic",1961,9588016
"333","Czech Republic",1962,9621808
"334","Czech Republic",1963,9668741
"335","Czech Republic",1964,9730019
"336","Czech Republic",1965,9785102
"337","Czech Republic",1966,9826188
"338","Czech Republic",1967,9854241
"339","Czech Republic",1968,9877632
"340","Czech Republic",1969,9896695
"341","Czech Republic",1970,9805157
"342","Czech Republic",1971,9830602
"343","Czech Republic",1972,9868379
"344","Czech Republic",1973,9919519
"345","Czech Republic",1974,9994761
"346","Czech Republic",1975,10062370
"347","Czech Republic",1976,10128220
"348","Czech Republic",1977,10189310
"349","Czech Republic",1978,10245690
"350","Czech Republic",1979,10296490
"351","Czech Republic",1980,10326790
"352","Czech Republic",1981,10303210
"353","Czech Republic",1982,10314320
"354","Czech Republic",1983,10322820
"355","Czech Republic",1984,10330480
"356","Czech Republic",1985,10336740
"357","Czech Republic",1986,10340740
"358","Czech Republic",1987,10348830
"359","Czech Republic",1988,10356360
"360","Czech Republic",1989,10362260
"361","Czech Republic",1990,10362740
"362","Czech Republic",1991,10308680
"363","Czech Republic",1992,10317810
"364","Czech Republic",1993,10330610
"365","Czech Republic",1994,10336160
"366","Czech Republic",1995,10330760
"367","Czech Republic",1996,10315350
"368","Czech Republic",1997,10303640
"369","Czech Republic",1998,10294940
"370","Czech Republic",1999,10282780
"371","Czech Republic",2000,10272500
"372","Czech Republic",2001,10224190
"373","Czech Republic",2002,10200770
