"","month","iso_code","date","location","total_cases","total_deaths","total_cases_per_million","total_deaths_per_million","total_tests","total_tests_per_thousand","total_vaccinations","total_boosters","total_vaccinations_per_hundred","total_boosters_per_hundred","population","population_density","continent","cs","L1vax","vax","lndeaths","deaths","lnvax","period"
"1","2021-11","ABW",2021-11-27,"Aruba",0,0,0,0,0,0,161611,0,150.76,0,107195,584.8,"North America",NA,NA,150.76,0,0,5.02230032562676,1
"2","2021-02","AFG",2021-02-28,"Afghanistan",55714,2443,1398.604,61.327,0,0,8200,0,0.02,0,39835428,54.422,"Asia",NA,0,0.02,4.13239471874634,61.327,0.0198026272961797,1
"3","2021-09","AFG",2021-09-30,"Afghanistan",155174,7204,3895.377,180.844,0,0,2369625,0,5.95,0,39835428,54.422,"Asia",NA,4.97,5.95,5.20314917666267,180.844,1.9387416595767,2
"4","2021-02","AGO",2021-02-28,"Angola",20807,508,613.168,14.97,0,0,0,0,0,0,33933611,23.89,"Africa",2375,0,0,2.77071196222692,14.97,0,1
"5","2021-05","AGO",2021-05-31,"Angola",34551,766,1018.194,22.573,0,0,909215,0,2.68,0,33933611,23.89,"Africa",4274,0,2.68,3.16010198928981,22.573,1.30291275218084,2
"6","2021-02","AIA",2021-02-28,"Anguilla",0,0,0,0,0,0,0,0,0,0,15125,NA,"North America",NA,NA,0,0,0,0,1
"7","2021-11","AIA",2021-11-19,"Anguilla",0,0,0,0,0,0,19066,0,126.06,0,15125,NA,"North America",NA,0,126.06,0,0,4.84465941583839,2
"8","2021-02","ALB",2021-02-28,"Albania",107167,1796,37302.284,625.145,444449,154.702,0,0,0,0,2872934,104.871,"Europe",NA,0,0,6.43958197367112,625.145,0,1
"9","2021-09","ALB",2021-09-30,"Albania",170131,2698,59218.555,939.11,NA,NA,1741373,0,60.61,0,2872934,104.871,"Europe",NA,51.25,60.61,6.84599688969419,939.11,4.12082419502648,2
"10","2021-02","AND",2021-02-28,"Andorra",10866,110,140471.081,1422.034,0,0,0,0,0,0,77354,163.755,"Europe",761,0,0,7.26054649098783,1422.034,0,1
