Land-Ocean: Northern Hemispheric Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-.34,-.51,-.23,-.29,-.06,-.16,-.17,-.25,-.22,-.31,-.42,-.38,-.28,***,***,-.19,-.19,-.32
1881,-.30,-.21,-.02,.01,.04,-.32,.09,-.03,-.25,-.42,-.36,-.22,-.17,-.18,-.30,.01,-.08,-.34
1882,.28,.23,.04,-.31,-.23,-.28,-.25,-.13,-.23,-.51,-.31,-.67,-.20,-.16,.10,-.17,-.22,-.35
1883,-.56,-.64,-.14,-.29,-.24,-.10,-.04,-.21,-.32,-.15,-.44,-.15,-.28,-.32,-.63,-.23,-.12,-.31
1884,-.17,-.11,-.64,-.59,-.37,-.40,-.44,-.50,-.44,-.44,-.56,-.46,-.43,-.40,-.14,-.53,-.45,-.48
1885,-1.00,-.44,-.22,-.48,-.57,-.44,-.32,-.39,-.38,-.35,-.37,-.10,-.42,-.45,-.64,-.42,-.39,-.37
1886,-.72,-.82,-.70,-.36,-.32,-.36,-.13,-.42,-.32,-.30,-.38,-.20,-.42,-.41,-.55,-.46,-.30,-.33
1887,-1.07,-.69,-.43,-.37,-.24,-.19,-.22,-.52,-.19,-.47,-.26,-.43,-.42,-.40,-.65,-.35,-.31,-.30
1888,-.47,-.58,-.61,-.20,-.14,-.02,.02,-.20,-.19,-.02,.01,-.24,-.22,-.24,-.49,-.32,-.07,-.06
1889,-.26,.32,-.02,.17,-.03,-.06,-.07,-.20,-.30,-.41,-.62,-.54,-.17,-.14,-.06,.04,-.11,-.44
1890,-.64,-.59,-.47,-.24,-.35,-.15,-.22,-.39,-.35,-.09,-.64,-.46,-.38,-.39,-.59,-.36,-.25,-.36
1891,-.46,-.68,-.15,-.35,-.15,-.12,-.11,-.12,-.07,-.27,-.52,-.03,-.25,-.29,-.53,-.22,-.12,-.29
1892,-.48,-.14,-.66,-.45,-.23,-.05,-.37,-.32,-.20,-.27,-.82,-.65,-.39,-.34,-.22,-.45,-.25,-.43
1893,-1.50,-.95,-.31,-.30,-.43,-.18,-.14,-.34,-.29,-.28,-.33,-.61,-.47,-.47,-1.03,-.35,-.22,-.30
1894,-.90,-.41,-.20,-.53,-.25,-.40,-.20,-.26,-.32,-.26,-.47,-.35,-.38,-.40,-.64,-.33,-.29,-.35
1895,-.69,-.80,-.48,-.18,-.30,-.20,-.17,-.27,-.05,-.08,-.11,-.21,-.30,-.31,-.61,-.32,-.21,-.08
1896,-.34,-.17,-.48,-.59,-.16,.08,.01,-.10,-.12,.06,-.20,-.20,-.18,-.18,-.24,-.41,.00,-.08
1897,-.39,-.41,-.39,-.05,.14,-.05,.06,-.05,-.05,-.14,-.26,-.27,-.15,-.15,-.33,-.10,-.01,-.15
1898,.07,-.42,-.78,-.26,-.26,-.06,-.10,-.15,-.16,-.35,-.49,-.25,-.27,-.27,-.21,-.43,-.11,-.33
1899,-.11,-.64,-.57,-.23,-.24,-.34,-.16,-.06,-.04,.04,.36,-.46,-.20,-.19,-.33,-.35,-.19,.12
1900,-.60,-.12,.07,-.09,-.03,-.09,-.10,-.08,-.02,.24,-.11,-.01,-.08,-.12,-.39,-.02,-.09,.04
1901,-.33,-.09,.28,.12,-.11,.01,.02,-.16,-.26,-.32,-.21,-.40,-.12,-.09,-.14,.09,-.04,-.26
1902,-.16,.02,-.38,-.38,-.38,-.36,-.32,-.27,-.33,-.29,-.45,-.59,-.33,-.31,-.18,-.38,-.32,-.36
1903,-.21,.12,-.14,-.46,-.42,-.44,-.43,-.54,-.49,-.49,-.41,-.56,-.37,-.37,-.23,-.34,-.47,-.46
1904,-.77,-.57,-.38,-.49,-.43,-.48,-.58,-.53,-.63,-.39,-.09,-.34,-.47,-.49,-.63,-.44,-.53,-.37
1905,-.41,-.82,-.23,-.46,-.29,-.27,-.22,-.23,-.19,-.26,.09,-.16,-.29,-.30,-.53,-.32,-.24,-.12
1906,-.56,-.53,-.20,.04,-.24,-.12,-.26,-.16,-.24,-.18,-.40,.03,-.23,-.25,-.42,-.13,-.18,-.27
1907,-.58,-.72,-.30,-.45,-.58,-.50,-.39,-.38,-.40,-.19,-.56,-.57,-.47,-.42,-.42,-.44,-.42,-.38
