,year,state,sl55,sl65,sl70,sl75,slnone,seatbelt,minage,zerotol,gdl,bac10,bac08,perse,totfat,nghtfat,wkndfat,totfatpvm,nghtfatpvm,wkndfatpvm,statepop,totfatrte,nghtfatrte,wkndfatrte,vehicmiles,unem,perc14_24,sl70plus,sbprim,sbsecon,d80,d81,d82,d83,d84,d85,d86,d87,d88,d89,d90,d91,d92,d93,d94,d95,d96,d97,d98,d99,d00,d01,d02,d03,d04,vehicmilespc
1,1980,1,1,0,0,0,0,0,18,0,0,1,0,0,940,422,236,3.200000048,1.437000036,0.802999973,3893888,24.13999939,10.84000015,6.059999943,29.375,8.800000191,18.89999962,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7543.874023
2,1981,1,1,0,0,0,0,0,18,0,0,1,0,0,933,434,248,3.349999905,1.557999969,0.889999986,3918520,24.06999969,11.07999992,6.329999924,27.85199928,10.69999981,18.70000076,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7107.785156
3,1982,1,1,0,0,0,0,0,18,0,0,1,0,0,839,376,224,2.809999943,1.258999944,0.75,3925218,21.37000084,9.579999924,5.710000038,29.85765076,14.39999962,18.39999962,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7606.62207
4,1983,1,1,0,0,0,0,0,18,0,0,1,0,0,930,397,223,3,1.281000018,0.718999982,3934109,23.6400013,10.0899992,5.669999599,31,13.69999981,18,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7879.802246
5,1984,1,1,0,0,0,0,0,18,0,0,1,0,0,932,421,237,2.829999924,1.277999997,0.720000029,3951834,23.57999992,10.65000057,6,32.93285751,11.10000038,17.60000038,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8333.5625
6,1985,1,1,0,0,0,0,0,20,0,0,1,0,0,882,358,224,2.50999999,1.019000053,0.637000024,3972527,22.20000076,9.010000229,5.640000343,35.13944244,8.899999619,17.29999924,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8845.614258
7,1986,1,1,0,0,0,0,0,21,0,0,1,0,0,1080,500,279,3.177000046,1.470999956,0.82099998,3991569,27.07999992,12.53000069,6.989999771,33.99370956,9.800000191,17,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8516.376953
8,1987,1,0.541999996,0.458000004,0,0,0,0,21,0,0,1,0,0,1111,499,300,2.970000029,1.333999991,0.801999986,4015261,27.67000008,12.43000031,7.46999979,37.40740967,7.800000191,16.59999847,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9316.307617
9,1988,1,0,1,0,0,0,0,21,0,0,1,0,0,1024,423,226,2.579999924,1.065999985,0.569000006,4023858,25.45000076,10.51000023,5.619999886,39.68992233,7.199999809,16.20000076,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9863.649414
10,1989,1,0,1,0,0,0,0,21,0,0,1,0,0,1029,418,247,2.519999981,1.024000049,0.605000019,4030229,25.52999878,10.36999893,6.129999638,40.83332825,7,15.80000114,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10131.76367
11,1990,1,0,1,0,0,0,0,21,0,0,1,0,0,1121,466,271,2.650000095,1.101999998,0.640999973,4048508,27.69000053,11.51000023,6.690000534,42.30189133,6.900000095,15.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10448.76074
