"","crimes11","b_migr11","pop11","area"
"1",156159.055226852,2.8846571680333,92027.9594830527,"Hartlepool"
"2",350654.969578473,8.46441146277357,138411.970036513,"Middlesbrough"
"3",223484.075128689,2.27964962577971,134888.062427102,"Redcar and Cleveland"
"4",255978.065881567,4.91220417243312,191610.040110093,"Stockton-on-Tees"
"5",160860.034261453,5.49873545533046,105564.019561696,"Darlington"
"6",196798.96844579,2.74643648517667,125746.047155938,"Halton"
"7",271288.108788127,6.1017500134767,202227.926274603,"Warrington"
"8",230853.977703292,13.5855694839847,147489.060361842,"Blackburn with Darwen"
"9",316254.945555434,5.55508320103399,142065.056318491,"Blackpool"
"10",620516.901000113,8.77343973807001,256405.989695315,"Kingston upon Hull, City of"
"11",318427.947136517,3.88717549940338,334178.940045579,"East Riding of Yorkshire"
"12",373527.930789517,4.50518153083976,159615.961829328,"North East Lincolnshire"
"13",267563.117296649,6.63662816950819,167446.074245004,"North Lincolnshire"
"14",302963.03747857,9.16356002126122,198050.935334285,"York"
"15",414942.122008394,13.6612832226092,248751.95196243,"Derby"
"16",704911.905520744,32.7036928007146,329838.9761454,"Leicester"
"17",27162.9909616887,6.42397188348696,37369.004310999,"Rutland"
"18",833141.119387919,19.7890567880449,305314.87259042,"Nottingham"
"19",181993.046005623,7.01522361050593,183476.970391216,"Herefordshire, County of"
"20",223659.014487324,7.27458030160051,166640.947797022,"Telford and Wrekin"
"21",501110.039019772,8.63442300978932,249008.053092945,"Stoke-on-Trent"
"22",218757.087790766,9.3973156879656,176015.975533568,"Bath and North East Somerset"
"23",1029600.08835445,15.2627303839836,428234.125147314,"Bristol, City of"
"24",243461.007971995,5.94045750185614,202565.905512519,"North Somerset"
"25",312070.040006578,6.64755751204211,262762.738043502,"South Gloucestershire"
"26",415557.830962414,7.14388777996646,256383.983137123,"Plymouth"
"27",195140.921744529,5.69793114700587,130958.990490086,"Torbay"
"28",318704.912624228,15.8381300105248,183490.969107163,"Bournemouth"
"29",173969.071173692,8.50785043730866,147644.990164525,"Poole"
"30",299061.042000812,13.0231086586718,209155.948693513,"Swindon"
"31",380661.91689807,20.3385200948105,183631.015023271,"Peterborough"
"32",342499.082663462,30.4969647375401,203200.921782192,"Luton"
"33",239248.09395109,10.0430260441499,173658.008857248,"Southend-on-Sea"
"34",232468.950981549,12.3691843371489,157704.934650817,"Thurrock"
"35",373675.888125519,10.6257527892012,263925.03197488,"Medway"
"36",140828.005844259,13.1423858518247,113204.960134118,"Bracknell Forest"
"37",207718.92067213,9.39631926303264,153821.953053641,"West Berkshire"
"38",381342.967175382,25.6479486008175,155677.316041342,"Reading"
"39",302424.930265461,38.626106781885,140204.955052854,"Slough"
"40",232579.922099916,17.6889767462853,144559.967349067,"Windsor and Maidenhead"
"41",144704.045714813,12.2832205879604,154400.580969458,"Wokingham"
"42",450272.04672588,18.6113581730751,248820.994991564,"Milton Keynes"
"43",456797.180222433,16.0917095752666,273368.935982232,"Brighton and Hove"
"44",425517.036747416,12.3442023497773,205055.938897212,"Portsmouth"
"45",560236.817942885,17.5866888603196,236882.039728427,"Southampton"
"46",178051.994616659,5.3675559698604,138265.000186051,"Isle of Wight"
"47",170044.974782895,3.05242804970476,513241.795750124,"County Durham"
"48",112606.032816609,5.62788933857519,370127.147572113,"Cheshire East"
"49",122189.032685771,5.07855129690142,329607.856320982,"Cheshire West and Chester"
"50",77889.9845144977,4.80242722551338,306128.905154038,"Shropshire"
"51",142946.049769733,4.59296382723551,532272.964501247,"Cornwall"
"52",1134.00012706802,6.03722333908081,2203.00048983818,"Isles of Scilly"
"53",125728.970882123,7.92896343560017,470985.231081097,"Wiltshire"
"54",217255.02336018,17.6343235070817,157479.046664248,"Bedford"
"55",79224.0097579546,7.91096727771219,254381.023940037,"Central Bedfordshire"
"56",185336.016713313,10.9124548704131,174136.958991624,"Aylesbury Vale"
"57",94822.0191981018,11.2222974188626,92635.0026899674,"Chiltern"
"58",108167.02043486,15.363247692585,66867.0256884397,"South Bucks"
"59",229815.968579199,14.8345920490101,171643.998306253,"Wycombe"
"60",255261.957428486,29.1400259360671,123867.038221826,"Cambridge"
"61",65787.9964882112,10.0271781673655,83817.9859626483,"East Cambridgeshire"
"62",120598.952356839,8.88973244000226,95261.9730430068,"Fenland"
"63",157461.932871628,9.7558880050201,169507.954873487,"Huntingdonshire"
"64",109619.030373049,11.0985502076801,148755.026464773,"South Cambridgeshire"
"65",108076.032751796,2.86230788478861,96422.0337884865,"Allerdale"
"66",95113.9841352526,2.99618045683019,69086.9903585109,"Barrow-in-Furness"
"67",157027.946252827,5.16932163445745,107523.98800728,"Carlisle"
"68",72166.0088177534,2.91521333710989,70603.0271807264,"Copeland"
"69",40379.0024709135,3.55430890922435,52564.0243068079,"Eden"
"70",83879.0192627046,5.12380320724333,103657.965704301,"South Lakeland"
"71",132844.000210165,3.01533254096285,122308.996230917,"Amber Valley"
"72",94199.0008419817,3.02680186578073,75865.9995948707,"Bolsover"
"73",154700.981659189,3.96334995020879,103788.042811466,"Chesterfield"
"74",55076.0005218224,3.26945314009208,71116.0011787798,"Derbyshire Dales"
"75",155340.067496439,3.72209481574828,112080.98472206,"Erewash"
"76",98575.9886612267,3.69048802240286,90891.9814122782,"High Peak"
"77",81623.029093835,2.44679619354429,99022.9649019638,"North East Derbyshire"
"78",79216.9678212147,3.80513354903087,94611.0038453047,"South Derbyshire"
"79",46256.0090924986,5.10565030999715,132456.957605904,"East Devon"
"80",177738.98680934,11.1285224033054,117773.035762701,"Exeter"
"81",46256.0090924986,4.99864051816985,77749.9632158705,"Mid Devon"
"82",41308.9900143196,4.54300655983388,93666.9966463328,"North Devon"
"83",54125.0048544206,5.54775054333732,83140.0157784156,"South Hams"
"84",54125.0048544206,4.79230507626198,124220.036636715,"Teignbridge"
"85",41308.9900143196,3.46120147733018,63838.9853903605,"Torridge"
"86",54125.0048544206,4.79506981791928,53552.9830764525,"West Devon"
