"","shortnam","africa","lat_abst","avexpr","logpgp95","other","asia","loghjypl","baseco"
"1","AFG",0,0.366666674613953,NA,NA,0,1,NA,NA
"2","AGO",1,0.136666670441628,5.36363649368286,7.77064514160156,0,0,-3.41124773025513,1
"3","ARE",0,0.266666680574417,7.18181800842285,9.80421924591064,0,1,NA,NA
"4","ARG",0,0.37777778506279,6.38636350631714,9.13345909118652,0,0,-0.872273802757263,1
"5","ARM",0,0.444444447755814,NA,7.68248224258423,0,1,NA,NA
"6","AUS",0,0.300000011920929,9.31818199157715,9.89797210693359,1,0,-0.170788332819939,1
"7","AUT",0,0.524444460868835,9.72727298736572,9.97487735748291,0,0,-0.343899756669998,NA
"8","AZE",0,0.447777777910233,NA,7.30653142929077,0,1,NA,NA
"9","BDI",1,0.0366666652262211,NA,6.56526517868042,0,0,-3.50655794143677,NA
"10","BEL",0,0.561111092567444,9.68181800842285,9.99287128448486,0,0,-0.179126635193825,NA
"11","BEN",1,0.103333339095116,NA,7.09007692337036,0,0,-2.83021783828735,NA
"12","BFA",1,0.144444450736046,4.45454549789429,6.84588003158569,0,0,-3.54045939445496,1
"13","BGD",0,0.266666680574417,5.13636350631714,6.87729597091675,0,1,-2.06356811523438,1
"14","BGR",0,0.477777779102325,8.90909099578857,8.45744323730469,0,0,NA,NA
"15","BHR",0,0.288888901472092,8,9.68595314025879,0,1,NA,NA
"16","BHS",0,0.268333315849304,7.5,9.28544807434082,0,0,NA,1
"17","BIH",0,0.488888889551163,NA,NA,0,0,NA,NA
"18","BLR",0,0.588888883590698,NA,8.34045600891113,0,0,NA,NA
"19","BLZ",0,0.190555557608604,NA,8.37793159484863,0,0,NA,NA
"20","BOL",0,0.188888892531395,5.63636350631714,7.92660236358643,0,0,-1.96611285209656,1
"21","BRA",0,0.111111111938953,7.90909099578857,8.72745418548584,0,0,-1.14256417751312,1
"22","BRB",0,0.145555555820465,NA,9.26672077178955,0,0,-0.906340360641479,NA
"23","BTN",0,0.303333312273026,NA,NA,0,0,NA,NA
"24","BWA",1,0.244444444775581,7.72727251052856,8.85509300231934,0,0,-2.36446046829224,NA
"25","CAF",1,0.0777777805924416,NA,7.19293403625488,0,0,-3.41124773025513,NA
"26","CAN",0,0.666666686534882,9.72727298736572,9.98644924163818,0,0,-0.0608121566474438,1
"27","CHE",0,0.522222220897675,10,10.120210647583,0,0,-0.134674891829491,NA
"28","CHL",0,0.333333343267441,7.81818199157715,9.33609199523926,0,0,-1.33560121059418,1
"29","CHN",0,0.388888895511627,7.77272748947144,7.88608121871948,0,1,-2.81341075897217,NA
"30","CIV",1,0.0888888910412788,7,7.44424867630005,0,0,-2.3330442905426,1
"31","CMR",1,0.0666666701436043,6.45454549789429,7.50108194351196,0,0,-2.57702207565308,1
"32","COG",1,0.0111111113801599,4.68181800842285,7.420578956604,0,0,-2.10373425483704,1
"33","COL",0,0.0444444455206394,7.31818199157715,8.80986309051514,0,0,-1.33180618286133,1
"34","COM",1,0.134444445371628,NA,7.38398933410645,0,0,-3.35240721702576,NA
"35","CPV",1,0.177777782082558,NA,7.97933912277222,0,0,-2.57702207565308,NA
"36","CRI",0,0.111111111938953,7.04545450210571,8.79482460021973,0,0,-1.35867917537689,1
"37","CZE",0,0.549444437026978,8.8636360168457,9.20432186126709,0,0,-1.55589711666107,NA
"38","DEU",0,0.566666662693024,NA,9.93547058105469,0,0,-0.200892925262451,NA
"39","DJI",1,0.12555555999279,NA,NA,0,0,NA,NA
"40","DNK",0,0.622222244739532,9.72727298736572,10.0055923461914,0,0,-0.371063679456711,NA
"41","DOM",0,0.21111111342907,6.18181800842285,8.36404228210449,0,0,-1.57987916469574,1
"42","DZA",1,0.311111122369766,6.5,8.38935947418213,0,0,-1.11474168300629,1
"43","ECU",0,0.0222222227603197,6.54545450210571,8.47010135650635,0,0,-1.43969511985779,1
"44","EGY",1,0.300000011920929,6.77272748947144,7.95155954360962,0,0,-1.67664659023285,1
"45","ERI",1,0.16666667163372,NA,6.62007331848145,0,0,NA,NA
"46","ESP",0,0.444444447755814,9.68181800842285,9.61846828460693,0,0,-0.382725656032562,NA
"47","EST",0,0.655555546283722,NA,8.39389514923096,0,0,NA,NA
"48","ETH",1,0.0888888910412788,5.72727251052856,6.10924768447876,0,0,NA,1
"49","FIN",0,0.711111128330231,9.72727298736572,9.82606601715088,0,0,-0.309246212244034,NA
"50","FJI",0,0.200000002980232,NA,8.30152130126953,1,0,-1.29828345775604,NA
"51","FRA",0,0.51111114025116,9.72727298736572,9.96364116668701,0,0,-0.200892925262451,NA
"52","GAB",1,0.0111111113801599,7.81818199157715,8.90788269042969,0,0,-1.85150945186615,1
"53","GBR",0,0.600000023841858,9.77272701263428,9.87817001342773,0,0,-0.318828791379929,NA
"54","GEO",0,0.466666668653488,NA,7.37148952484131,0,1,NA,NA
"55","GHA",1,0.0888888910412788,6.27272748947144,7.36518001556396,0,0,-2.95651149749756,1
"56","GIN",1,0.122222222387791,6.54545450210571,7.48997068405151,0,0,-3.14655518531799,1
"57","GMB",1,0.147555559873581,8.27272701263428,7.27239847183228,0,0,-3.03655433654785,1
"58","GNB",1,0.133333340287209,4.54545450210571,NA,0,0,-3.24419355392456,NA
"59","GRC",0,0.433333337306976,7.81818199157715,9.39764976501465,0,0,-0.757152497768402,NA
"60","GTM",0,0.170000001788139,5.13636350631714,8.29404926300049,0,0,-1.56064772605896,1
"61","GUY",0,0.0555555559694767,5.88636350631714,7.90470409393311,0,0,-2.25379490852356,1
"62","HKG",0,0.246111109852791,8.1363639831543,10.049750328064,0,1,-0.49758043885231,1
"63","HND",0,0.16666667163372,5.31818199157715,7.68708038330078,0,0,-2.04022097587585,1
"64","HRV",0,0.501111090183258,NA,8.41847705841064,0,0,NA,NA
"65","HTI",0,0.21111111342907,3.72727274894714,7.14677238464355,0,0,-2.8647038936615,1
"66","HUN",0,0.522222220897675,9,8.80986309051514,0,0,-1.18090748786926,NA
"67","IDN",0,0.0555999986827374,7.59090900421143,8.0709056854248,0,1,-2.20727491378784,1
"68","IND",0,0.222200006246567,8.27272701263428,7.32600021362305,0,1,-2.45340800285339,1
"69","IRL",0,0.588888883590698,9.72727298736572,9.76938438415527,0,0,-0.549912989139557,NA
"70","IRN",0,0.355555564165115,4.77272748947144,8.60520362854004,0,1,-1.22078001499176,NA
"71","IRQ",0,0.366666674613953,1.63636362552643,NA,0,1,NA,NA
"72","ISL",0,0.722222208976746,9.72727298736572,9.94366931915283,0,0,-0.314710706472397,NA
"73","ISR",0,0.347777783870697,8.54545497894287,9.78414058685303,0,1,-0.417031764984131,NA
"74","ITA",0,0.472222208976746,9.45454502105713,9.89797210693359,0,0,-0.181521892547607,NA
"75","JAM",0,0.201666668057442,7.09090900421143,8.18868923187256,0,0,-2.04022097587585,1
"76","JOR",0,0.344444453716278,6.77272748947144,8.17188167572021,0,1,-0.877070009708405,NA
"77","JPN",0,0.400000005960464,9.72727298736572,10.0340766906738,0,1,-0.532730460166931,NA
"78","KAZ",0,0.533333361148834,NA,8.13153076171875,0,1,NA,NA
"79","KEN",1,0.0111111113801599,6.04545450210571,7.05617523193359,0,0,-2.88240361213684,1
"80","KGZ",0,0.455555558204651,NA,7.57558488845825,0,1,NA,NA
"81","KOR",0,0.411111116409302,8.6363639831543,9.41572761535645,0,1,-0.967584013938904,NA
"82","KWT",0,0.3255555331707,7.04545450210571,9.80366706848145,0,1,NA,NA
"83","LAO",0,0.200000002980232,NA,7.09007692337036,0,1,NA,NA
"84","LBR",1,0.0700000002980232,3.63636374473572,NA,0,0,NA,NA
"85","LBY",1,0.277777791023254,5.27272748947144,NA,0,0,NA,NA
"86","LKA",0,0.0777777805924416,6.04545450210571,7.73193073272705,0,1,-1.86433017253876,1
"87","LSO",1,0.3255555331707,NA,7.30653142929077,0,0,-2.76462054252625,NA
"88","LTU",0,0.622222244739532,NA,8.2374792098999,0,0,NA,NA
"89","LUX",0,0.549444437026978,10,10.2887496948242,0,0,-0.0140989227220416,NA
"90","LVA",0,0.633333325386047,NA,8.15478801727295,0,0,NA,NA
"91","MAR",1,0.355555564165115,7.09090900421143,8.04237842559814,0,0,-1.67664659023285,1
"92","MDA",0,0.522222220897675,NA,7.37775897979736,0,0,NA,NA
"93","MDG",1,0.222222223877907,4.45454549789429,6.8351845741272,0,0,-3.1941831111908,1
"94","MEX",0,0.25555557012558,7.5,8.94376754760742,0,0,-0.83701753616333,1
"95","MKD",0,0.461111098527908,NA,8.06148719787598,0,0,NA,NA
"96","MLI",1,0.188888892531395,4,6.56526517868042,0,0,-3.35240721702576,1
"97","MLT",0,0.394444435834885,7.22727251052856,9.42706298828125,1,0,-0.770028233528137,1
"98","MMR",0,0.244444444775581,5.77272748947144,NA,0,1,-3.54045939445496,NA
"99","MNG",0,0.51111114025116,7.36363649368286,7.29979753494263,0,1,NA,NA
"100","MOZ",1,0.201666668057442,6.5,6.46146821975708,0,0,-3.24419355392456,NA
"101","MRT",1,0.222222223877907,NA,7.41457271575928,0,0,-2.99573230743408,NA
"102","MUS",1,0.224111109972,NA,9.05368614196777,0,0,-1.33941078186035,NA
"103","MWI",1,0.147777780890465,6.81818199157715,6.46146821975708,0,0,-3.50655794143677,NA
"104","MYS",0,0.0255555547773838,7.95454549789429,8.89425849914551,0,1,-1.32050669193268,1
"105","NAM",1,0.244444444775581,NA,8.51519107818604,0,0,-1.639897108078,NA
"106","NER",1,0.177777782082558,5,6.73340177536011,0,0,-3.54045939445496,1
"107","NGA",1,0.111111111938953,5.54545450210571,6.8134446144104,0,0,-3.03655433654785,1
"108","NIC",0,0.144444450736046,5.22727251052856,7.5443320274353,0,0,-2.07147336006165,1
"109","NLD",0,0.581111073493958,10,9.89696598052979,0,0,-0.215671539306641,NA
"110","NOR",0,0.688888907432556,9.95454502105713,10.0239334106445,0,0,-0.275753498077393,NA
"111","NPL",0,0.311111122369766,NA,6.9373140335083,0,1,NA,NA
"112","NZL",0,0.455555558204651,9.72727298736572,9.75614738464355,1,0,-0.33267942070961,1
"113","OMN",0,0.233333334326744,7.13636350631714,9.20833873748779,0,1,-0.858021855354309,NA
"114","PAK",0,0.333333343267441,6.04545450210571,7.35244131088257,0,1,-2.05572485923767,1
"115","PAN",0,0.100000001490116,5.90909099578857,8.83637428283691,0,0,-1.50058352947235,1
"116","PER",0,0.111111111938953,5.77272748947144,8.39615440368652,0,0,-1.43969511985779,1
"117","PHL",0,0.144444450736046,5.45454549789429,8.09864330291748,0,1,-2.07147336006165,NA
"118","PNG",0,0.0666666701436043,7.27272748947144,NA,0,1,-2.55104637145996,NA
"119","POL",0,0.577777802944183,7.68181800842285,8.65521430969238,0,0,-1.43548452854156,NA
"120","PRK",0,0.444444447755814,NA,NA,0,0,NA,NA
"121","PRT",0,0.436666667461395,9.18181800842285,9.48948574066162,0,0,-1.00512194633484,NA
"122","PRY",0,0.25555557012558,6.95454549789429,8.20794677734375,0,0,-1.77195680141449,1
"123","QAT",0,0.281111091375351,7.72727251052856,9.68533134460449,0,1,NA,NA
"124","ROM",0,0.51111114025116,7.27272748947144,8.3870849609375,0,0,-2.1803674697876,NA
"125","RUS",0,0.666666686534882,8.45454502105713,8.40514373779297,0,0,-0.874669075012207,NA
"126","RWA",1,0.0222222227603197,NA,6.47697257995605,0,0,-3.14655518531799,NA
"127","SAU",0,0.277777791023254,7.59090900421143,9.23989963531494,0,1,-0.638659000396729,NA
"128","SDN",1,0.16666667163372,4,7.30653142929077,0,0,-2.70306253433228,1
"129","SEN",1,0.155555561184883,6,7.40245151519775,0,0,-2.63108921051025,1
"130","SGP",0,0.0135555556043983,9.31818199157715,10.1464338302612,0,1,-0.500875294208527,1
"131","SLE",1,0.0922222211956978,5.81818199157715,6.25382900238037,0,0,-2.74887204170227,1
"132","SLV",0,0.150000005960464,5,7.94803190231323,0,0,-1.85150945186615,1
"133","SOM",1,0.111111111938953,3,NA,0,0,-3.01593494415283,NA
"134","STP",0,0.0111111113801599,8.40909099578857,NA,0,0,NA,NA
"135","SUR",0,0.0444444455206394,4.68181800842285,8.01000022888184,0,0,-1.37042093276978,NA
"136","SVK",0,0.537777781486511,NA,8.85223579406738,0,0,NA,NA
"137","SVN",0,0.51111114025116,NA,9.30018138885498,0,0,NA,NA
"138","SWE",0,0.688888907432556,9.5,9.86630439758301,0,0,-0.239527031779289,NA
"139","SWZ",1,0.292222201824188,NA,8.10772037506104,0,0,-1.80788886547089,NA
"140","SYR",0,0.388888895511627,5.81818199157715,8.02943325042725,0,1,-0.825536370277405,NA
"141","TCD",1,0.16666667163372,NA,6.8351845741272,0,0,-3.44201922416687,NA
"142","TGO",1,0.0888888910412788,6.90909099578857,7.2225661277771,0,0,-3.21887588500977,1
"143","THA",0,0.16666667163372,7.63636350631714,8.77493095397949,0,1,-1.85150945186615,NA
