"","year","id","go","m","l","k","sic3dig","countyear","va"
"1",86,72,9824.87890625,5117.6240234375,23,1575.75183105469,381,8,4707.2548828125
"2",79,72,11606.232421875,5185.27685546875,15,2402.04345703125,381,8,6420.95556640625
"3",85,72,7129.53955078125,4211.142578125,19,1727.42651367188,381,8,2918.39697265625
"4",80,72,9808.0341796875,6124,15,2602.931640625,381,8,3684.0341796875
"5",82,72,11243.5986328125,3619.53125,16,2335.77172851562,381,8,7624.0673828125
"6",83,72,5957.45751953125,2257.693359375,13,2102.91479492188,381,8,3699.76416015625
"7",84,72,8891.763671875,5365.43115234375,22,1901.78271484375,381,8,3526.33251953125
"8",81,72,13603.2509765625,9666.689453125,22,2606.3525390625,381,8,3936.5615234375
"9",84,117,21776.02734375,9613.095703125,28,8737.6572265625,381,8,12162.931640625
"10",86,117,33181.6015625,13625.9462890625,30,9166.2333984375,381,8,19555.65625
"11",80,117,23005,8838,36,6600.224609375,381,8,14167
"12",85,117,38881.171875,6980.18701171875,30,9157.634765625,381,8,31900.984375
"13",81,117,35479.6328125,9983.759765625,34,7043.45751953125,381,8,25495.873046875
"14",79,117,20853.689453125,7219.44873046875,32,6479.32421875,381,8,13634.240234375
"15",83,117,18511.291015625,8192.353515625,26,7390.09033203125,381,8,10318.9375
"16",82,117,20632.8203125,9027.125,31,8033.92529296875,381,8,11605.6953125
"17",80,171,37614.57421875,15755,33,18226.673828125,331,8,21859.57421875
"18",84,171,40131.4375,17932.8125,28,18946.56640625,331,8,22198.625
"19",81,171,46921.69140625,11148.16015625,32,20560.4765625,331,8,35773.53125
"20",85,171,32527.876953125,15531.0439453125,30,18335.73828125,331,8,16996.83203125
"21",86,171,40175.6171875,17155.759765625,39,18190.142578125,331,8,23019.857421875
"22",83,171,32511.3984375,12597.189453125,32,19082.66796875,331,8,19914.208984375
"23",79,171,130107.671875,67102.109375,78,17242.0546875,331,8,63005.5625
"24",82,171,28433.126953125,5752.15087890625,32,19771.701171875,331,8,22680.9765625
"25",82,1152,1170292.375,134627.484375,331,1374058.625,311,8,1035664.875
"26",84,1152,1251038.375,684936.5625,172,1415793.375,311,8,566101.8125
"27",81,1152,931365.6875,146868.1875,353,1345637.875,311,8,784497.5
"28",79,1152,904342.6875,309295.34375,389,1128764.125,311,8,595047.375
"29",85,1152,1402571.25,685499.375,408,1477764.125,311,8,717071.875
"30",83,1152,967470.875,230717.375,325,1395943.625,311,8,736753.5
"31",80,1152,1131977.625,138721,405,1389797.5,311,8,993256.625
"32",86,1152,1514700.25,479828.375,393,1483697,311,8,1034871.875
"33",81,1341,19333.537109375,11776.9775390625,35,806.72216796875,369,8,7556.5595703125
"34",82,1341,9278.138671875,3864.62890625,25,2174.14697265625,369,8,5413.509765625
"35",86,1341,7552.75,6114.4150390625,21,1643.73559570312,369,8,1438.3349609375
"36",79,1341,19396.8203125,8737.1064453125,27,717.716247558594,369,8,10659.7138671875
