"","year","sic4dig","id","go","m","l","k","sic3dig","sic2dig","minyear","maxyear","countyear","va","lnvaOl","lnk"
"1",86,3813,72,9824.87890625,5117.6240234375,23,1575.75183105469,381,38,79,86,8,4707.2548828125,5.32136583328247,7.36248779296875
"2",79,3813,72,11606.232421875,5185.27685546875,15,2402.04345703125,381,38,79,86,8,6420.95556640625,6.05927181243896,7.78407526016235
"3",85,3813,72,7129.53955078125,4211.142578125,19,1727.42651367188,381,38,79,86,8,2918.39697265625,5.03435087203979,7.45438814163208
"4",80,3813,72,9808.0341796875,6124,15,2602.931640625,381,38,79,86,8,3684.0341796875,5.50371360778809,7.86439371109009
"5",82,3813,72,11243.5986328125,3619.53125,16,2335.77172851562,381,38,79,86,8,7624.0673828125,6.16647672653198,7.7560977935791
"6",83,3813,72,5957.45751953125,2257.693359375,13,2102.91479492188,381,38,79,86,8,3699.76416015625,5.65107488632202,7.6510796546936
"7",84,3813,72,8891.763671875,5365.43115234375,22,1901.78271484375,381,38,79,86,8,3526.33251953125,5.07697105407715,7.55054712295532
"8",81,3813,72,13603.2509765625,9666.689453125,22,2606.3525390625,381,38,79,86,8,3936.5615234375,5.18702030181885,7.86570692062378
"9",86,3620,81,62043.87109375,29915.01953125,39,33107.1875,362,36,79,86,8,32128.8515625,6.71394824981689,10.4075059890747
"10",80,3620,81,41412.78515625,13871,32,46128.19921875,362,36,79,86,8,27541.78515625,6.75772380828857,10.7391796112061
"11",82,3620,81,63344.69140625,8859.7412109375,34,42768.8984375,362,36,79,86,8,54484.94921875,7.379319190979,10.6635665893555
"12",84,3620,81,79874.9765625,19680.966796875,31,39277.2890625,362,36,79,86,8,60194.0078125,7.57134103775024,10.5784015655518
"13",81,3620,81,54935.93359375,22979.00390625,32,43702.34375,362,36,79,86,8,31956.9296875,6.90640830993652,10.6851568222046
"14",85,3620,81,75522.8671875,31706.71875,33,35558.3125,362,36,79,86,8,43816.1484375,7.19125032424927,10.4789295196533
"15",79,3620,81,28975.9609375,10593.33984375,29,43056.4453125,362,36,79,86,8,18382.62109375,6.45186519622803,10.6702671051025
