"","nuts2","year","emp","country","gva","k","regionid"
"1","at11",2000,536.2,"at",11956,3826,1
"2","at11",2001,539,"at",12384,7254.10009765625,1
"3","at11",2002,544.8,"at",12982,9844.9853515625,1
"4","at11",2003,551.4,"at",13310,12175.2373046875,1
"5","at11",2004,554.3,"at",14005,14573.9521484375,1
"6","at11",2005,559.4,"at",14205,16436.859375,1
"7","at11",2006,568.9,"at",14763,18399.330078125,1
"8","at11",2007,579.1,"at",15594,20238.4296875,1
"9","at11",2008,585.5,"at",16002,21867.666015625,1
"10","at11",2009,586,"at",16083,23053.515625,1
"11","at11",2010,590.3,"at",16758,24185.48828125,1
"12","at11",2011,611.4,"at",17494,25462.6640625,1
"13","at11",2012,619.2,"at",18346,27104.263671875,1
"14","at12",2000,3356.4,"at",85036,24439,2
"15","at12",2001,3364.7,"at",86610,44513.1484375,2
"16","at12",2002,3373.3,"at",88461,60127.17578125,2
"17","at12",2003,3392.5,"at",90822,75174.1015625,2
"18","at12",2004,3413.6,"at",96044,88963.984375,2
"19","at12",2005,3448,"at",99048,101368.390625,2
"20","at12",2006,3509.3,"at",105229,111971.1328125,2
"21","at12",2007,3575.8,"at",113007,124039.4609375,2
"22","at12",2008,3664.5,"at",117169,137792.546875,2
"23","at12",2009,3634.5,"at",113953,148258.671875,2
"24","at12",2010,3646.9,"at",117088,155607.875,2
"25","at12",2011,3711.2,"at",122720,165432.6875,2
"26","at12",2012,3759.3,"at",125825,173801.78125,2
"27","at13",2000,4948.6,"at",149761,44817,3
"28","at13",2001,4976,"at",155718,80456.453125,3
"29","at13",2002,4964.9,"at",161322,111858.984375,3
"30","at13",2003,4950.1,"at",162207,141444.140625,3
"31","at13",2004,4916.2,"at",166860,168073.515625,3
"32","at13",2005,4950.7,"at",173992,189831.484375,3
"33","at13",2006,5057.1,"at",184288,210374.765625,3
"34","at13",2007,5155.1,"at",191585,230059.546875,3
"35","at13",2008,5267.4,"at",198787,248263.609375,3
"36","at13",2009,5256.9,"at",197193,260746.0625,3
"37","at13",2010,5312.1,"at",201979,270986.15625,3
"38","at13",2011,5401,"at",208783,283469.21875,3
"39","at13",2012,5496.1,"at",211977,294071.84375,3
"40","at21",2000,1275.7,"at",31224,8843,4
"41","at21",2001,1286.4,"at",31803,17247.55078125,4
"42","at21",2002,1294,"at",32888,23179.41796875,4
"43","at21",2003,1299.2,"at",33669,27918.505859375,4
"44","at21",2004,1309.3,"at",35062,32682.73046875,4
"45","at21",2005,1326.3,"at",36616,37871.3203125,4
"46","at21",2006,1358.7,"at",38471,42477.62109375,4
"47","at21",2007,1382,"at",41171,47642.9765625,4
"48","at21",2008,1406.6,"at",42224,51895.53125,4
"49","at21",2009,1384.2,"at",40633,53194.203125,4
"50","at21",2010,1389.6,"at",41879,54769.07421875,4
"51","at21",2011,1410.1,"at",44396,57695.71484375,4
"52","at21",2012,1414.8,"at",44623,60523.359375,4
"53","at22",2000,2873.2,"at",68877,20481,5
"54","at22",2001,2895.9,"at",71557,38692.8515625,5
"55","at22",2002,2884.4,"at",72474,52697.921875,5
"56","at22",2003,2906.1,"at",74619,64239.234375,5
"57","at22",2004,2955.1,"at",78907,74932.3515625,5
"58","at22",2005,3001.7,"at",82798,83054.5,5
"59","at22",2006,3033.5,"at",87062,90524.328125,5
"60","at22",2007,3098.5,"at",93227,99160.6796875,5
"61","at22",2008,3172.9,"at",95675,108716.578125,5
"62","at22",2009,3134.3,"at",93080,115347.09375,5
"63","at22",2010,3175.2,"at",95812,121560.03125,5
"64","at22",2011,3237.1,"at",100792,128938.0234375,5
"65","at22",2012,3260.9,"at",104296,135602.3125,5
"66","at31",2000,3525.2,"at",89889,23891,6
"67","at31",2001,3584.8,"at",93399,44407.3515625,6
"68","at31",2002,3579.8,"at",95294,62332.25,6
"69","at31",2003,3613.6,"at",98205,79144.4140625,6
"70","at31",2004,3637,"at",101910,92585.75,6
"71","at31",2005,3706.2,"at",108354,104155.890625,6
"72","at31",2006,3766.9,"at",114362,115280.5078125,6
"73","at31",2007,3849.5,"at",121245,127358.4296875,6
"74","at31",2008,3941.5,"at",126983,139082.671875,6
"75","at31",2009,3905,"at",122556,148287.265625,6
"76","at31",2010,3924.8,"at",126941,154965.171875,6
